cited_datapaper_doi,used_paper_count
10.1038/S41597-020-0453-3,179
10.5194/ESSD-13-4349-2021,83
10.1038/S41597-020-0534-3,62
10.1038/S41597-020-0369-Y,52
10.1038/S41597-020-0462-2,44
10.1016/J.DIB.2019.104863,44
10.1002/GDJ3.78,29
10.1038/S41597-020-0495-6,28
10.1016/J.DIB.2017.05.007,27
10.1038/S41597-020-00688-8,25
10.1038/S41597-019-0076-8,24
10.1016/J.DIB.2015.12.012,24
10.1038/S41597-020-00586-Z,23
10.5194/ESSD-13-2753-2021,21
10.1038/S41597-019-0322-0,20
10.1038/S41597-020-0393-Y,19
10.1038/S41597-019-0300-6,19
10.1038/S41597-022-01899-X,18
10.1080/20964471.2019.1625151,17
10.1038/S41597-020-0448-0,17
10.1038/S41597-020-00622-Y,17
10.1038/S41597-020-00736-3,16
10.1038/S41597-019-0091-9,16
10.1038/S41597-019-0055-0,16
10.1038/S41597-020-0510-Y,13
10.1038/S41597-020-00580-5,13
10.5194/ESSD-14-4811-2022,12
10.1038/S41597-022-01307-4,12
10.1038/S41597-019-0343-8,12
10.1038/S41597-020-0444-4,11
10.1038/S41597-020-0362-5,11
10.1111/SIFP.12103,10
10.1038/S41597-021-00815-Z,10
10.1038/S41597-020-0421-Y,10
10.1016/J.DIB.2019.104101,10
10.1016/J.DIB.2018.11.015,10
10.1002/GDJ3.42,10
10.1038/S41597-020-00587-Y,9
10.1038/S41597-019-0351-8,9
10.1038/S41597-019-0043-4,9
10.1016/J.DIB.2019.104699,9
10.3391/BIR.2020.9.2.01,8
10.1038/S41597-021-00835-9,8
10.1038/S41597-020-0445-3,8
10.1038/S41597-020-0433-7,8
10.1038/S41597-019-0320-2,8
10.1038/S41597-019-0254-8,8
10.1016/J.DIB.2017.12.039,8
10.5194/ESSD-13-3927-2021,7
10.1038/S41597-022-01393-4,7
10.1038/S41597-021-01069-5,7
10.1038/S41597-020-0552-1,7
10.1038/S41597-020-0517-4,7
10.1038/S41597-020-0479-6,7
10.1038/S41597-020-00644-6,7
10.1038/S41597-019-0265-5,7
10.1038/S41597-019-0199-Y,7
10.1038/S41597-019-0151-1,7
10.1038/S41597-019-0094-6,7
10.1002/GDJ3.25,7
10.1038/S41597-022-01493-1,6
10.1038/S41597-021-01003-9,6
10.1038/S41597-021-00973-0,6
10.1038/S41597-021-00900-3,6
10.1038/S41597-020-0554-Z,6
10.1038/S41597-020-0548-X,6
10.1038/S41597-020-0469-8,6
10.1038/S41597-020-0360-7,6
10.1038/S41597-020-00784-9,6
10.1038/S41597-020-00681-1,6
10.1038/S41597-020-00669-X,6
10.1038/S41597-020-00643-7,6
10.1038/S41597-020-00608-W,6
10.1038/S41597-019-0229-9,6
10.1038/S41597-019-0097-3,6
10.1038/S41597-019-0073-Y,6
10.1016/J.DIB.2020.106446,6
10.1016/J.DIB.2020.105855,6
10.1016/J.DIB.2016.06.032,6
10.1016/J.DIB.2015.07.028,6
10.1016/J.CSBJ.2022.05.006,6
10.1002/GDJ3.102,6
10.5194/ESSD-14-5573-2022,5
10.1177/8755293020911137,5
10.1038/S41597-021-00939-2,5
10.1038/S41597-021-00886-Y,5
10.1038/S41597-021-00870-6,5
10.1038/S41597-020-00757-Y,5
10.1038/S41597-020-00734-5,5
10.1038/S41597-020-00708-7,5
10.1038/S41597-020-00653-5,5
10.1038/S41597-020-00599-8,5
10.1038/S41597-020-00583-2,5
10.1038/S41597-019-0224-1,5
10.1038/S41597-019-0201-8,5
10.1038/S41597-019-0192-5,5
10.1038/S41597-019-0083-9,5
10.1038/S41597-019-0034-5,5
10.1038/S41597-019-0023-8,5
10.1016/J.DIB.2021.106948,5
10.1016/J.DIB.2019.104202,5
10.1016/J.DIB.2018.12.008,5
10.1016/J.DIB.2018.11.019,5
10.1016/J.DIB.2017.12.026,5
10.1016/J.DIB.2015.11.038,5
10.1002/GDJ3.22,5
10.5194/ESSD-14-651-2022,4
10.5194/ESSD-14-1869-2022,4
10.5194/ESSD-13-3847-2021,4
10.3897/BDJ.7.E31817,4
10.1111/JBI.14330,4
10.1111/GEB.12979,4
10.1038/S41597-022-01514-Z,4
10.1038/S41597-022-01498-W,4
10.1038/S41597-022-01322-5,4
10.1038/S41597-022-01288-4,4
10.1038/S41597-021-01019-1,4
10.1038/S41597-021-00893-Z,4
10.1038/S41597-021-00868-0,4
10.1038/S41597-020-0557-9,4
10.1038/S41597-020-0458-Y,4
10.1038/S41597-020-0427-5,4
10.1038/S41597-020-0395-9,4
10.1038/S41597-020-0352-7,4
10.1038/S41597-020-00764-Z,4
10.1038/S41597-020-00741-6,4
10.1038/S41597-020-00702-Z,4
10.1038/S41597-020-00634-8,4
10.1038/S41597-020-00629-5,4
10.1038/S41597-020-00575-2,4
10.1038/S41597-019-0344-7,4
10.1038/S41597-019-0328-7,4
10.1038/S41597-019-0282-4,4
10.1038/S41597-019-0262-8,4
10.1038/S41597-019-0238-8,4
10.1038/S41597-019-0209-0,4
10.1038/S41597-019-0155-X,4
10.1038/S41597-019-0122-6,4
10.1038/S41597-019-0052-3,4
10.1038/S41597-019-0035-4,4
10.1016/J.DIB.2023.108902,4
10.1016/J.DIB.2020.105114,4
10.1016/J.DIB.2019.104612,4
10.1016/J.DIB.2019.104344,4
10.1016/J.DIB.2018.10.102,4
10.1016/J.DIB.2018.09.057,4
10.1016/J.DIB.2018.03.031,4
10.1016/J.DIB.2015.10.026,4
10.1016/J.DIB.2015.09.013,4
10.1016/J.CDC.2020.100531,4
10.5194/ESSD-15-265-2023,3
10.5194/ESSD-15-1597-2023,3
10.5194/ESSD-14-865-2022,3
10.5194/ESSD-14-491-2022,3
10.5194/ESSD-14-4129-2022,3
10.5194/ESSD-14-3167-2022,3
10.5194/ESSD-14-1087-2022,3
10.5194/ESSD-13-5403-2021,3
10.5194/ESSD-13-5253-2021,3
10.5194/ESSD-13-3819-2021,3
10.3897/BDJ.7.E32910,3
10.1038/S41597-023-02025-1,3
10.1038/S41597-022-01768-7,3
10.1038/S41597-022-01592-Z,3
10.1038/S41597-022-01543-8,3
10.1038/S41597-022-01458-4,3
10.1038/S41597-022-01425-Z,3
10.1038/S41597-022-01343-0,3
10.1038/S41597-022-01208-6,3
10.1038/S41597-022-01168-X,3
10.1038/S41597-022-01118-7,3
10.1038/S41597-021-01064-W,3
10.1038/S41597-021-01059-7,3
10.1038/S41597-021-01033-3,3
10.1038/S41597-021-01015-5,3
10.1038/S41597-021-01010-W,3
10.1038/S41597-021-01006-6,3
10.1038/S41597-021-00916-9,3
10.1038/S41597-021-00875-1,3
10.1038/S41597-021-00834-W,3
10.1038/S41597-021-00827-9,3
10.1038/S41597-020-0567-7,3
10.1038/S41597-020-0562-Z,3
10.1038/S41597-020-0542-3,3
10.1038/S41597-020-0513-8,3
10.1038/S41597-020-0499-2,3
10.1038/S41597-020-0483-X,3
10.1038/S41597-020-0481-Z,3
10.1038/S41597-020-0480-0,3
10.1038/S41597-020-0440-8,3
10.1038/S41597-020-0426-6,3
10.1038/S41597-020-0381-2,3
10.1038/S41597-020-0376-Z,3
10.1038/S41597-020-0355-4,3
10.1038/S41597-020-00727-4,3
10.1038/S41597-020-00697-7,3
10.1038/S41597-020-00694-W,3
10.1038/S41597-020-00687-9,3
10.1038/S41597-020-00612-0,3
10.1038/S41597-019-0312-2,3
10.1038/S41597-019-0299-8,3
10.1038/S41597-019-0208-1,3
10.1038/S41597-019-0206-3,3
10.1038/S41597-019-0137-Z,3
10.1038/S41597-019-0131-5,3
10.1038/S41597-019-0116-4,3
10.1038/S41597-019-0110-X,3
10.1038/S41597-019-0056-Z,3
10.1029/2021JA030183,3
10.1016/J.DIB.2022.108374,3
10.1016/J.DIB.2021.106762,3
10.1016/J.DIB.2020.106488,3
10.1016/J.DIB.2020.106438,3
10.1016/J.DIB.2020.106026,3
10.1016/J.DIB.2020.105737,3
10.1016/J.DIB.2020.105685,3
10.1016/J.DIB.2020.105498,3
10.1016/J.DIB.2020.105253,3
10.1016/J.DIB.2019.105000,3
