cited_datapaper_doi,used_paper_count
10.1007/S11558-019-09344-2,60
10.5194/ESSD-13-3907-2021,30
10.5194/ESSD-14-1917-2022,25
10.1002/GDJ3.44,24
10.1016/J.DIB.2017.10.024,20
10.1038/S41597-021-00997-6,18
10.1038/S41597-019-0236-X,17
10.5194/ESSD-13-2895-2021,13
10.1080/20964471.2019.1625528,12
10.1038/S41597-020-0386-X,11
10.1038/S41597-020-0520-9,10
10.1016/J.DIB.2017.04.013,10
10.1038/S41597-019-0341-X,9
10.1038/S41597-021-00937-4,8
10.1038/S41597-020-0401-2,8
10.1016/J.DIB.2016.05.025,8
10.1038/S41597-021-01054-Y,7
10.1038/S41597-020-0460-4,7
10.1038/S41597-019-0183-6,7
10.5194/ESSD-13-3607-2021,6
10.1038/S41597-021-00909-8,6
10.1038/S41597-020-0488-5,6
10.1038/S41597-020-00763-0,6
10.1038/S41597-020-00609-9,6
10.1038/S41597-019-0089-3,6
10.1016/J.DIB.2017.09.038,6
10.1002/LOL2.10203,6
10.1038/S41597-022-01284-8,5
10.1038/S41597-020-0377-Y,5
10.1038/S41597-020-00680-2,5
10.1038/S41597-019-0325-X,5
10.1038/S41597-019-0169-4,5
10.1016/J.GDATA.2016.08.008,5
10.1016/J.DIB.2018.11.111,5
10.1016/J.COMNET.2021.108001,5
10.5194/ESSD-13-5423-2021,4
10.1111/GEB.13179,4
10.1038/S41597-022-01383-6,4
10.1038/S41597-021-00955-2,4
10.1038/S41597-020-0459-X,4
10.1038/S41597-020-0363-4,4
10.1038/S41597-020-00712-X,4
10.1038/S41597-020-00610-2,4
10.1038/S41597-019-0288-Y,4
10.1038/S41597-019-0219-Y,4
10.1038/S41597-019-0074-X,4
10.1016/J.DIB.2020.105537,4
10.1016/J.DIB.2019.104313,4
10.1016/J.DIB.2016.11.056,4
10.1002/GDJ3.77,4
10.5194/ESSD-14-5463-2022,3
10.5194/ESSD-14-1639-2022,3
10.5194/ESSD-13-5001-2021,3
10.1038/S41597-023-02022-4,3
10.1038/S41597-022-01512-1,3
10.1038/S41597-022-01309-2,3
10.1038/S41597-021-01092-6,3
10.1038/S41597-021-01023-5,3
10.1038/S41597-021-00964-1,3
10.1038/S41597-021-00828-8,3
10.1038/S41597-020-0543-2,3
10.1038/S41597-020-0487-6,3
10.1038/S41597-020-0446-2,3
10.1038/S41597-020-0379-9,3
10.1038/S41597-020-00715-8,3
10.1038/S41597-020-00675-Z,3
10.1038/S41597-019-0217-0,3
10.1038/S41597-019-0133-3,3
10.1038/S41597-019-0071-0,3
10.1016/J.DIB.2021.107133,3
10.1016/J.DIB.2020.106221,3
10.1016/J.DIB.2020.105530,3
10.1016/J.DIB.2019.104517,3
10.1016/J.DIB.2019.104324,3
10.1016/J.DIB.2019.103777,3
10.1016/J.DIB.2018.10.045,3
10.1016/J.DIB.2018.02.026,3
10.1016/J.DIB.2017.10.036,3
10.1016/J.DIB.2017.07.039,3
10.1016/J.DIB.2016.11.047,3
10.1016/J.CDC.2022.100920,3
10.1007/S13351-019-9042-9,3
10.1002/GDJ3.49,3
10.1002/GDJ3.104,3
10.1002/ECY.2663,3
10.5194/ESSD-15-4749-2023,2
10.5194/ESSD-14-449-2022,2
10.5194/ESSD-14-1707-2022,2
10.5194/ESSD-13-5337-2021,2
10.5194/ESSD-13-4485-2021,2
10.5194/ESSD-13-4133-2021,2
10.5194/ESSD-13-3239-2021,2
10.3389/FPUBH.2017.00336,2
10.3389/FGENE.2022.1012694,2
10.3389/FGENE.2019.01158,2
10.1177/0738894220948729,2
10.1111/GEB.13346,2
10.1038/S41597-023-02276-Y,2
10.1038/S41597-023-01955-0,2
10.1038/S41597-022-01812-6,2
