cited_datapaper_doi,used_paper_count,llm_used_count
10.1007/S11558-019-09344-2,60.0,
10.5194/ESSD-13-3907-2021,30.0,
10.1002/GDJ3.44,24.0,
10.1016/J.DIB.2017.10.024,20.0,
10.1038/S41597-021-00997-6,18.0,
10.1038/S41597-019-0236-X,17.0,
10.5194/ESSD-13-2895-2021,13.0,
10.1080/20964471.2019.1625528,12.0,
10.1038/S41597-020-0386-X,11.0,
10.1038/S41597-020-0520-9,10.0,
10.1016/J.DIB.2017.04.013,10.0,
10.1038/S41597-019-0341-X,9.0,
10.1038/S41597-021-00937-4,8.0,
10.1038/S41597-020-0401-2,8.0,
10.1038/S41597-021-01054-Y,7.0,
10.1038/S41597-020-0460-4,7.0,
10.1038/S41597-019-0183-6,7.0,
10.5194/ESSD-13-3607-2021,6.0,
10.1038/S41597-021-00909-8,6.0,
10.1038/S41597-020-0488-5,6.0,
10.1038/S41597-020-00763-0,6.0,
10.1038/S41597-020-00609-9,6.0,
10.1038/S41597-019-0089-3,6.0,
10.1016/J.DIB.2017.09.038,6.0,
10.1002/LOL2.10203,6.0,
10.1038/S41597-022-01284-8,5.0,
10.1038/S41597-020-0377-Y,5.0,
10.1038/S41597-020-00680-2,5.0,
10.1038/S41597-019-0325-X,5.0,
10.1038/S41597-019-0169-4,5.0,
10.1016/J.GDATA.2016.08.008,5.0,
10.1016/J.COMNET.2021.108001,5.0,
10.5194/ESSD-13-5423-2021,4.0,
10.1038/S41597-022-01383-6,4.0,
10.1038/S41597-021-00955-2,4.0,
10.1038/S41597-020-0459-X,4.0,
10.1038/S41597-020-0363-4,4.0,
10.1038/S41597-020-00712-X,4.0,
10.1038/S41597-020-00610-2,4.0,
10.1038/S41597-019-0219-Y,4.0,
10.1038/S41597-019-0074-X,4.0,
10.1016/J.DIB.2020.105537,4.0,
10.1016/J.DIB.2016.11.056,4.0,
10.1002/GDJ3.77,4.0,
10.1002/ECY.2663,3.0,
10.1038/S41597-019-0217-0,3.0,
10.5194/ESSD-14-1917-2022,,25.0
10.1016/J.DIB.2016.05.025,,8.0
10.1016/J.DIB.2018.11.111,,5.0
10.1038/S41597-019-0288-Y,,4.0
